Date,Week_Numeric,Week_String,Sleep_Metric_Type,Value_in_Seconds,Rested
1/7/2025,3,Tuesday,Sleep Duration,24300,Yes
1/8/2025,4,Wednesday,Sleep Duration,20580,No
1/9/2025,5,Thursday,Sleep Duration,30960,No
1/10/2025,6,Friday,Sleep Duration,31740,No
1/11/2025,7,Saturday,Sleep Duration,31560,Yes
1/12/2025,1,Sunday,Sleep Duration,29880,No
1/13/2025,2,Monday,Sleep Duration,16020,No
1/14/2025,3,Tuesday,Sleep Duration,29340,Yes
1/15/2025,4,Wednesday,Sleep Duration,34260,No
1/16/2025,5,Thursday,Sleep Duration,31200,Yes
1/17/2025,6,Friday,Sleep Duration,30720,No
1/18/2025,7,Saturday,Sleep Duration,27480,Yes
1/19/2025,1,Sunday,Sleep Duration,37440,Yes
1/20/2025,2,Monday,Sleep Duration,39060,No
1/21/2025,3,Tuesday,Sleep Duration,37020,Yes
1/22/2025,4,Wednesday,Sleep Duration,22980,No
1/23/2025,5,Thursday,Sleep Duration,30600,Yes
1/24/2025,6,Friday,Sleep Duration,30180,Yes
1/25/2025,7,Saturday,Sleep Duration,23760,Yes
1/26/2025,1,Sunday,Sleep Duration,15060,No
1/27/2025,2,Monday,Sleep Duration,31920,No
1/28/2025,3,Tuesday,Sleep Duration,26760,Yes
1/29/2025,4,Wednesday,Sleep Duration,24660,No
1/30/2025,5,Thursday,Sleep Duration,27000,Yes
1/31/2025,6,Friday,Sleep Duration,31260,Yes
2/1/2025,7,Saturday,Sleep Duration,38280,Yes
2/2/2025,1,Sunday,Sleep Duration,41640,Yes
2/3/2025,2,Monday,Sleep Duration,26340,No
2/4/2025,3,Tuesday,Sleep Duration,27540,No
2/5/2025,4,Wednesday,Sleep Duration,33540,No
2/6/2025,5,Thursday,Sleep Duration,35340,No
2/7/2025,6,Friday,Sleep Duration,33060,Yes
2/8/2025,7,Saturday,Sleep Duration,26340,No
2/9/2025,1,Sunday,Sleep Duration,30000,Yes
2/10/2025,2,Monday,Sleep Duration,24780,Yes
2/11/2025,3,Tuesday,Sleep Duration,29280,Yes
2/12/2025,4,Wednesday,Sleep Duration,27960,No
2/13/2025,5,Thursday,Sleep Duration,29220,Yes
2/14/2025,6,Friday,Sleep Duration,31140,Yes
2/15/2025,7,Saturday,Sleep Duration,32160,Yes
2/16/2025,1,Sunday,Sleep Duration,29460,No
2/17/2025,2,Monday,Sleep Duration,12420,No
2/18/2025,3,Tuesday,Sleep Duration,29700,Yes
2/19/2025,4,Wednesday,Sleep Duration,31620,No
2/20/2025,5,Thursday,Sleep Duration,28380,Yes
2/21/2025,6,Friday,Sleep Duration,35880,No
2/22/2025,7,Saturday,Sleep Duration,35460,Yes
2/23/2025,1,Sunday,Sleep Duration,26100,Yes
2/24/2025,2,Monday,Sleep Duration,30720,Yes
2/25/2025,3,Tuesday,Sleep Duration,34980,No
2/26/2025,4,Wednesday,Sleep Duration,28500,Yes
2/27/2025,5,Thursday,Sleep Duration,23040,Yes
2/28/2025,6,Friday,Sleep Duration,32460,Yes
3/1/2025,7,Saturday,Sleep Duration,31380,Yes
3/2/2025,1,Sunday,Sleep Duration,27660,Yes
3/3/2025,2,Monday,Sleep Duration,31680,No
3/4/2025,3,Tuesday,Sleep Duration,30900,No
3/5/2025,4,Wednesday,Sleep Duration,35520,No
3/6/2025,5,Thursday,Sleep Duration,30900,Yes
3/7/2025,6,Friday,Sleep Duration,13440,Yes
3/8/2025,7,Saturday,Sleep Duration,24480,Yes
3/9/2025,1,Sunday,Sleep Duration,24960,Yes
3/10/2025,2,Monday,Sleep Duration,31140,Yes
3/11/2025,3,Tuesday,Sleep Duration,26640,Yes
3/12/2025,4,Wednesday,Sleep Duration,34560,Yes
3/13/2025,5,Thursday,Sleep Duration,30420,Yes
3/14/2025,6,Friday,Sleep Duration,35700,No
3/15/2025,7,Saturday,Sleep Duration,22380,Yes
3/16/2025,1,Sunday,Sleep Duration,34920,No
3/17/2025,2,Monday,Sleep Duration,18360,No
3/18/2025,3,Tuesday,Sleep Duration,31680,Yes
3/19/2025,4,Wednesday,Sleep Duration,31320,Yes
3/20/2025,5,Thursday,Sleep Duration,32220,No
3/21/2025,6,Friday,Sleep Duration,28920,Yes
3/22/2025,7,Saturday,Sleep Duration,20760,Yes
3/23/2025,1,Sunday,Sleep Duration,31620,No
3/24/2025,2,Monday,Sleep Duration,28140,Yes
3/25/2025,3,Tuesday,Sleep Duration,31500,Yes
3/26/2025,4,Wednesday,Sleep Duration,32460,Yes
3/27/2025,5,Thursday,Sleep Duration,31140,No
3/28/2025,6,Friday,Sleep Duration,28140,Yes
3/29/2025,7,Saturday,Sleep Duration,21900,Yes
3/30/2025,1,Sunday,Sleep Duration,32100,Yes
3/31/2025,2,Monday,Sleep Duration,36900,Yes
4/1/2025,3,Tuesday,Sleep Duration,26820,No
4/2/2025,4,Wednesday,Sleep Duration,20160,No
4/3/2025,5,Thursday,Sleep Duration,24480,Yes
4/4/2025,6,Friday,Sleep Duration,22260,Yes
4/5/2025,7,Saturday,Sleep Duration,33480,Yes
4/6/2025,1,Sunday,Sleep Duration,20700,No
4/7/2025,2,Monday,Sleep Duration,29340,Yes
4/8/2025,3,Tuesday,Sleep Duration,26640,No
4/9/2025,4,Wednesday,Sleep Duration,20880,Yes
4/10/2025,5,Thursday,Sleep Duration,29400,Yes
4/11/2025,6,Friday,Sleep Duration,30660,Yes
4/12/2025,7,Saturday,Sleep Duration,31620,No
4/13/2025,1,Sunday,Sleep Duration,11460,No
4/14/2025,2,Monday,Sleep Duration,14580,Yes
4/15/2025,3,Tuesday,Sleep Duration,21960,Yes
4/16/2025,4,Wednesday,Sleep Duration,35520,Yes
4/17/2025,5,Thursday,Sleep Duration,31620,Yes
4/18/2025,6,Friday,Sleep Duration,30540,Yes
4/19/2025,7,Saturday,Sleep Duration,32520,Yes
4/20/2025,1,Sunday,Sleep Duration,25200,No
4/21/2025,2,Monday,Sleep Duration,27360,No
4/22/2025,3,Tuesday,Sleep Duration,23460,No
4/23/2025,4,Wednesday,Sleep Duration,26700,No
4/24/2025,5,Thursday,Sleep Duration,26460,Yes
4/25/2025,6,Friday,Sleep Duration,22140,No
4/26/2025,7,Saturday,Sleep Duration,24840,Yes
4/27/2025,1,Sunday,Sleep Duration,27060,Yes
4/28/2025,2,Monday,Sleep Duration,25860,Yes
4/29/2025,3,Tuesday,Sleep Duration,27180,Yes
4/30/2025,4,Wednesday,Sleep Duration,27960,No
5/1/2025,5,Thursday,Sleep Duration,16560,No
5/2/2025,6,Friday,Sleep Duration,23040,Yes
5/3/2025,7,Saturday,Sleep Duration,29520,Yes
5/4/2025,1,Sunday,Sleep Duration,28800,Yes
5/5/2025,2,Monday,Sleep Duration,25560,No
5/6/2025,3,Tuesday,Sleep Duration,36120,No
5/7/2025,4,Wednesday,Sleep Duration,38040,Yes
5/8/2025,5,Thursday,Sleep Duration,29220,Yes
5/9/2025,6,Friday,Sleep Duration,28440,Yes
5/10/2025,7,Saturday,Sleep Duration,26340,Yes
5/11/2025,1,Sunday,Sleep Duration,28200,No
5/12/2025,2,Monday,Sleep Duration,18720,No
5/13/2025,3,Tuesday,Sleep Duration,28620,Yes
5/14/2025,4,Wednesday,Sleep Duration,30300,Yes
5/15/2025,5,Thursday,Sleep Duration,25560,Yes
5/16/2025,6,Friday,Sleep Duration,28440,No
5/17/2025,7,Saturday,Sleep Duration,25740,No
5/18/2025,1,Sunday,Sleep Duration,27660,Yes
5/19/2025,2,Monday,Sleep Duration,29280,No
